date,value,balance,gdp
2010-07-01,-3.17,-479.0,15.1
2010-08-01,-3.48,-528.0,15.1
2010-09-01,-3.37,-512.0,15.2
2010-10-01,-3.06,-467.0,15.3
2010-11-01,-2.9,-444.0,15.3
2010-12-01,-3.13,-480.0,15.3
2011-01-01,-3.62,-555.0,15.3
2011-02-01,-3.37,-518.0,15.4
2011-03-01,-3.3,-509.0,15.4
2011-04-01,-3.17,-491.0,15.5
2011-05-01,-3.54,-551.0,15.6
2011-06-01,-3.7,-577.0,15.6
2011-07-01,-3.39,-529.0,15.6
2011-08-01,-3.31,-517.0,15.6
2011-09-01,-3.18,-499.0,15.7
2011-10-01,-3.32,-523.0,15.8
2011-11-01,-3.45,-546.0,15.8
2011-12-01,-3.58,-570.0,15.9
2012-01-01,-3.61,-577.0,16.0
2012-02-01,-3.03,-487.0,16.1
2012-03-01,-3.54,-571.0,16.1
2012-04-01,-3.31,-535.0,16.2
2012-05-01,-3.19,-517.0,16.2
2012-06-01,-3.01,-490.0,16.2
2012-07-01,-2.97,-484.0,16.3
2012-08-01,-3.1,-505.0,16.3
2012-09-01,-2.7,-442.0,16.4
2012-10-01,-2.89,-474.0,16.4
2012-11-01,-3.18,-523.0,16.4
2012-12-01,-2.53,-417.0,16.5
2013-01-01,-2.8,-463.0,16.6
2013-02-01,-2.84,-473.0,16.6
2013-03-01,-2.37,-394.0,16.7
2013-04-01,-2.64,-440.0,16.7
2013-05-01,-2.89,-483.0,16.7
2013-06-01,-2.36,-396.0,16.8
2013-07-01,-2.48,-419.0,16.9
2013-08-01,-2.49,-422.0,17.0
2013-09-01,-2.7,-459.0,17.0
2013-10-01,-2.42,-415.0,17.1
2013-11-01,-2.25,-387.0,17.2
2013-12-01,-2.23,-383.0,17.2
2014-01-01,-2.5,-430.0,17.2
2014-02-01,-2.68,-461.0,17.2
2014-03-01,-2.77,-479.0,17.3
2014-04-01,-2.92,-508.0,17.4
2014-05-01,-2.61,-457.0,17.5
2014-06-01,-2.55,-449.0,17.6
2014-07-01,-2.55,-452.0,17.7
2014-08-01,-2.39,-425.0,17.8
2014-09-01,-2.69,-481.0,17.8
2014-10-01,-2.62,-468.0,17.9
2014-11-01,-2.55,-457.0,17.9
2014-12-01,-2.76,-496.0,18.0
2015-01-01,-2.48,-447.0,18.0
2015-02-01,-2.16,-391.0,18.1
2015-03-01,-3.13,-568.0,18.1
2015-04-01,-2.54,-462.0,18.2
2015-05-01,-2.43,-444.0,18.3
2015-06-01,-2.68,-492.0,18.3
2015-07-01,-2.55,-467.0,18.4
2015-08-01,-2.8,-515.0,18.4
2015-09-01,-2.61,-481.0,18.4
2015-10-01,-2.53,-466.0,18.4
2015-11-01,-2.51,-463.0,18.4
2015-12-01,-2.56,-472.0,18.5
2016-01-01,-2.51,-465.0,18.5
2016-02-01,-2.72,-504.0,18.5
2016-03-01,-2.29,-426.0,18.6
2016-04-01,-2.34,-436.0,18.6
2016-05-01,-2.4,-449.0,18.7
2016-06-01,-2.57,-482.0,18.8
2016-07-01,-2.44,-459.0,18.8
2016-08-01,-2.45,-463.0,18.9
2016-09-01,-2.25,-426.0,19.0
2016-10-01,-2.36,-449.0,19.0
2016-11-01,-2.69,-514.0,19.1
2016-12-01,-2.49,-477.0,19.2
2017-01-01,-2.62,-503.0,19.2
2017-02-01,-2.39,-461.0,19.3
2017-03-01,-2.47,-478.0,19.3
2017-04-01,-2.65,-514.0,19.4
2017-05-01,-2.62,-509.0,19.4
2017-06-01,-2.52,-493.0,19.5
2017-07-01,-2.55,-500.0,19.6
2017-08-01,-2.42,-477.0,19.7
2017-09-01,-2.42,-480.0,19.8
2017-10-01,-2.49,-495.0,19.9
2017-11-01,-2.63,-527.0,20.0
2017-12-01,-2.67,-538.0,20.1
2018-01-01,-2.7,-547.0,20.2
2018-02-01,-2.78,-565.0,20.3
2018-03-01,-2.47,-503.0,20.4
2018-04-01,-2.62,-536.0,20.5
2018-05-01,-2.33,-479.0,20.6
2018-06-01,-2.5,-516.0,20.7
2018-07-01,-2.78,-576.0,20.7
2018-08-01,-2.76,-574.0,20.8
2018-09-01,-2.79,-582.0,20.8
2018-10-01,-2.9,-605.0,20.9
2018-11-01,-2.71,-567.0,20.9
2018-12-01,-3.04,-638.0,21.0
2019-01-01,-2.65,-558.0,21.0
2019-02-01,-2.58,-545.0,21.1
2019-03-01,-2.61,-554.0,21.2
2019-04-01,-2.7,-574.0,21.3
2019-05-01,-2.76,-591.0,21.4
2019-06-01,-2.61,-562.0,21.5
2019-07-01,-2.58,-557.0,21.6
2019-08-01,-2.58,-559.0,21.7
2019-09-01,-2.33,-508.0,21.8
2019-10-01,-2.16,-473.0,21.9
2019-11-01,-2.02,-443.0,21.9
2019-12-01,-2.29,-500.0,21.9
2020-01-01,-2.28,-497.0,21.8
2020-02-01,-2.07,-450.0,21.8
2020-03-01,-2.35,-497.0,21.2
2020-04-01,-3.02,-620.0,20.6
2020-05-01,-3.23,-645.0,20.0
2020-06-01,-2.86,-587.0,20.5
2020-07-01,-3.33,-703.0,21.1
2020-08-01,-3.4,-737.0,21.7
2020-09-01,-3.11,-678.0,21.8
2020-10-01,-3.31,-727.0,22.0
2020-11-01,-3.46,-765.0,22.1
2020-12-01,-3.31,-737.0,22.3
2021-01-01,-3.28,-737.0,22.5
2021-02-01,-3.39,-769.0,22.7
2021-03-01,-3.36,-772.0,22.9
2021-04-01,-3.3,-765.0,23.2
2021-05-01,-3.32,-778.0,23.4
2021-06-01,-3.56,-841.0,23.6
2021-07-01,-3.4,-809.0,23.8
2021-08-01,-3.62,-869.0,24.0
2021-09-01,-3.68,-893.0,24.3
2021-10-01,-3.23,-793.0,24.5
2021-11-01,-3.89,-965.0,24.8
2021-12-01,-3.74,-935.0,25.0
2022-01-01,-3.93,-987.0,25.1
2022-02-01,-3.9,-985.0,25.3
2022-03-01,-4.5,-1146.0,25.5
2022-04-01,-3.76,-965.0,25.7
2022-05-01,-3.7,-958.0,25.9
2022-06-01,-3.57,-930.0,26.0
2022-07-01,-3.02,-790.0,26.2
2022-08-01,-3.03,-798.0,26.3
2022-09-01,-3.03,-803.0,26.5
2022-10-01,-3.38,-900.0,26.6
2022-11-01,-2.81,-751.0,26.8
2022-12-01,-3.05,-820.0,26.9
2023-01-01,-2.94,-794.0,27.1
2023-02-01,-2.91,-791.0,27.2
2023-03-01,-2.38,-649.0,27.3
2023-04-01,-3.02,-828.0,27.4
2023-05-01,-2.75,-756.0,27.5
2023-06-01,-2.7,-749.0,27.7
2023-07-01,-2.67,-745.0,27.9
2023-08-01,-2.48,-697.0,28.1
2023-09-01,-2.52,-709.0,28.2
2023-10-01,-2.72,-770.0,28.3
2023-11-01,-2.71,-771.0,28.4
2023-12-01,-2.58,-735.0,28.5
2024-01-01,-2.68,-767.0,28.6
2024-02-01,-2.64,-759.0,28.7
2024-03-01,-2.58,-743.0,28.9
2024-04-01,-2.93,-850.0,29.0
2024-05-01,-2.89,-844.0,29.1
2024-06-01,-2.93,-856.0,29.3
2024-07-01,-3.14,-924.0,29.4
2024-08-01,-2.89,-854.0,29.5
2024-09-01,-3.38,-1000.0,29.6
2024-10-01,-3.06,-909.0,29.7
2024-11-01,-3.21,-957.0,29.8
2024-12-01,-3.89,-1162.0,29.9
2025-01-01,-4.99,-1496.0,30.0
2025-02-01,-4.68,-1405.0,30.0
2025-03-01,-5.29,-1596.0,30.2
2025-04-01,-2.39,-724.0,30.3
2025-05-01,-2.63,-801.0,30.5
2025-06-01,-2.3,-704.0,30.7
2025-07-01,-2.92,-901.0,30.9
2025-08-01,-2.3,-716.0,31.1
2025-09-01,-2.28,-713.0,31.2
2025-10-01,-1.43,-449.0,31.3
2025-11-01,-2.44,-766.0,31.4
2025-12-01,-2.89,-913.0,31.6
2026-01-01,-2.05,-650.0,31.7
2026-02-01,-2.07,-660.0,31.9
2026-03-01,-2.12,-679.0,32.0
2026-04-01,-2.03,-655.0,32.2
2026-05-01,-2.87,-931.0,32.4
