date,value,receipts,gdp
1995-10-01,17.54,1.36,7.7
1995-11-01,17.5,1.36,7.8
1995-12-01,17.53,1.37,7.8
1996-01-01,17.6,1.38,7.8
1996-02-01,17.61,1.39,7.9
1996-03-01,17.44,1.38,7.9
1996-04-01,17.8,1.42,8.0
1996-05-01,17.68,1.42,8.0
1996-06-01,17.65,1.42,8.1
1996-07-01,17.72,1.43,8.1
1996-08-01,17.69,1.44,8.1
1996-09-01,17.77,1.45,8.2
1996-10-01,17.73,1.46,8.2
1996-11-01,17.73,1.46,8.3
1996-12-01,17.78,1.47,8.3
1997-01-01,17.8,1.48,8.3
1997-02-01,17.74,1.48,8.4
1997-03-01,17.85,1.5,8.4
1997-04-01,18.04,1.53,8.5
1997-05-01,17.98,1.53,8.5
1997-06-01,18.13,1.55,8.6
1997-07-01,18.09,1.56,8.6
1997-08-01,18.03,1.56,8.7
1997-09-01,18.15,1.58,8.7
1997-10-01,18.26,1.59,8.7
1997-11-01,18.25,1.6,8.8
1997-12-01,18.4,1.62,8.8
1998-01-01,18.47,1.63,8.8
1998-02-01,18.48,1.64,8.9
1998-03-01,18.52,1.65,8.9
1998-04-01,18.81,1.68,8.9
1998-05-01,18.75,1.68,9.0
1998-06-01,18.81,1.7,9.0
1998-07-01,18.82,1.71,9.1
1998-08-01,18.81,1.72,9.1
1998-09-01,18.75,1.72,9.2
1998-10-01,18.69,1.73,9.2
1998-11-01,18.69,1.74,9.3
1998-12-01,18.73,1.75,9.3
1999-01-01,18.74,1.76,9.4
1999-02-01,18.68,1.76,9.4
1999-03-01,18.74,1.77,9.4
1999-04-01,18.72,1.78,9.5
1999-05-01,18.68,1.78,9.5
1999-06-01,18.7,1.79,9.6
1999-07-01,18.62,1.79,9.6
1999-08-01,18.66,1.81,9.7
1999-09-01,18.73,1.83,9.8
1999-10-01,18.6,1.83,9.8
1999-11-01,18.54,1.84,9.9
1999-12-01,18.71,1.86,9.9
2000-01-01,18.82,1.88,10.0
2000-02-01,18.85,1.89,10.0
2000-03-01,18.75,1.89,10.1
2000-04-01,18.88,1.92,10.2
2000-05-01,19.19,1.97,10.2
2000-06-01,19.3,1.98,10.3
2000-07-01,19.37,1.99,10.3
2000-08-01,19.44,2.01,10.3
2000-09-01,19.55,2.03,10.4
2000-10-01,19.62,2.04,10.4
2000-11-01,19.59,2.04,10.4
2000-12-01,19.56,2.04,10.4
2001-01-01,19.82,2.07,10.5
2001-02-01,19.82,2.07,10.5
2001-03-01,19.68,2.07,10.5
2001-04-01,19.95,2.11,10.6
2001-05-01,19.68,2.09,10.6
2001-06-01,19.57,2.07,10.6
2001-07-01,19.51,2.07,10.6
2001-08-01,19.36,2.05,10.6
2001-09-01,18.75,1.99,10.6
2001-10-01,18.91,2.01,10.6
2001-11-01,18.84,2.01,10.7
2001-12-01,18.65,2.0,10.7
2002-01-01,18.43,1.98,10.7
2002-02-01,18.24,1.97,10.8
2002-03-01,18.01,1.95,10.8
2002-04-01,17.08,1.85,10.9
2002-05-01,16.82,1.83,10.9
2002-06-01,16.58,1.81,10.9
2002-07-01,16.59,1.82,11.0
2002-08-01,16.56,1.82,11.0
2002-09-01,16.83,1.85,11.0
2002-10-01,16.5,1.82,11.0
2002-11-01,16.45,1.82,11.1
2002-12-01,16.35,1.81,11.1
2003-01-01,16.15,1.8,11.1
2003-02-01,16.02,1.79,11.2
2003-03-01,16.04,1.8,11.2
2003-04-01,15.92,1.79,11.3
2003-05-01,15.86,1.79,11.3
2003-06-01,15.83,1.8,11.4
2003-07-01,15.62,1.79,11.5
2003-08-01,15.42,1.78,11.6
2003-09-01,15.32,1.78,11.6
2003-10-01,15.32,1.79,11.7
2003-11-01,15.22,1.79,11.8
2003-12-01,15.19,1.8,11.8
2004-01-01,15.1,1.79,11.9
2004-02-01,15.06,1.8,11.9
2004-03-01,15.08,1.81,12.0
2004-04-01,14.91,1.8,12.0
2004-05-01,14.93,1.81,12.1
2004-06-01,15.03,1.83,12.2
2004-07-01,15.04,1.84,12.2
2004-08-01,15.15,1.86,12.3
2004-09-01,15.18,1.88,12.4
2004-10-01,15.1,1.88,12.5
2004-11-01,15.14,1.9,12.5
2004-12-01,15.28,1.93,12.6
2005-01-01,15.32,1.94,12.7
2005-02-01,15.29,1.95,12.8
2005-03-01,15.36,1.97,12.8
2005-04-01,15.74,2.03,12.9
2005-05-01,15.97,2.06,12.9
2005-06-01,16.03,2.08,13.0
2005-07-01,16.0,2.09,13.1
2005-08-01,16.05,2.11,13.1
2005-09-01,16.31,2.15,13.2
2005-10-01,16.33,2.17,13.3
2005-11-01,16.29,2.17,13.3
2005-12-01,16.37,2.2,13.4
2006-01-01,16.47,2.22,13.5
2006-02-01,16.44,2.24,13.6
2006-03-01,16.5,2.25,13.7
2006-04-01,16.71,2.29,13.7
2006-05-01,16.94,2.33,13.8
2006-06-01,17.1,2.36,13.8
2006-07-01,17.18,2.38,13.8
2006-08-01,17.12,2.38,13.9
2006-09-01,17.28,2.41,13.9
2006-10-01,17.34,2.42,14.0
2006-11-01,17.32,2.43,14.0
2006-12-01,17.38,2.45,14.1
2007-01-01,17.52,2.48,14.2
2007-02-01,17.5,2.49,14.2
2007-03-01,17.44,2.49,14.3
2007-04-01,17.84,2.56,14.3
2007-05-01,17.57,2.53,14.4
2007-06-01,17.59,2.54,14.5
2007-07-01,17.59,2.55,14.5
2007-08-01,17.62,2.57,14.6
2007-09-01,17.57,2.57,14.6
2007-10-01,17.58,2.58,14.7
2007-11-01,17.56,2.58,14.7
2007-12-01,17.67,2.6,14.7
2008-01-01,17.64,2.59,14.7
2008-02-01,17.55,2.58,14.7
2008-03-01,17.57,2.59,14.8
2008-04-01,17.64,2.61,14.8
2008-05-01,17.31,2.57,14.9
2008-06-01,17.18,2.56,14.9
2008-07-01,17.1,2.55,14.9
2008-08-01,17.03,2.54,14.9
2008-09-01,17.05,2.52,14.8
2008-10-01,17.07,2.51,14.7
2008-11-01,17.14,2.5,14.6
2008-12-01,16.94,2.46,14.5
2009-01-01,16.81,2.44,14.5
2009-02-01,16.75,2.42,14.4
2009-03-01,16.42,2.37,14.4
2009-04-01,15.49,2.23,14.4
2009-05-01,15.46,2.22,14.4
2009-06-01,15.12,2.18,14.4
2009-07-01,15.04,2.17,14.4
2009-08-01,14.93,2.16,14.4
2009-09-01,14.5,2.1,14.5
2009-10-01,14.23,2.07,14.6
2009-11-01,14.08,2.06,14.7
2009-12-01,13.92,2.04,14.7
2010-01-01,13.74,2.02,14.7
2010-02-01,13.84,2.04,14.8
2010-03-01,13.94,2.07,14.8
2010-04-01,13.73,2.05,14.9
2010-05-01,13.87,2.08,15.0
2010-06-01,14.05,2.11,15.0
2010-07-01,14.03,2.12,15.1
2010-08-01,14.1,2.14,15.1
2010-09-01,14.22,2.16,15.2
2010-10-01,14.24,2.17,15.3
2010-11-01,14.29,2.19,15.3
2010-12-01,14.39,2.21,15.3
2011-01-01,14.52,2.23,15.3
2011-02-01,14.53,2.23,15.4
2011-03-01,14.45,2.23,15.4
2011-04-01,14.67,2.27,15.5
2011-05-01,14.78,2.3,15.6
2011-06-01,14.75,2.3,15.6
2011-07-01,14.74,2.3,15.6
2011-08-01,14.75,2.31,15.6
2011-09-01,14.65,2.3,15.7
2011-10-01,14.7,2.32,15.8
2011-11-01,14.66,2.32,15.8
2011-12-01,14.61,2.33,15.9
2012-01-01,14.59,2.33,16.0
2012-02-01,14.48,2.33,16.1
2012-03-01,14.56,2.35,16.1
2012-04-01,14.7,2.38,16.2
2012-05-01,14.7,2.38,16.2
2012-06-01,14.73,2.39,16.2
2012-07-01,14.85,2.42,16.3
2012-08-01,14.88,2.43,16.3
2012-09-01,14.98,2.45,16.4
2012-10-01,15.08,2.47,16.4
2012-11-01,15.1,2.48,16.4
2012-12-01,15.21,2.51,16.5
2013-01-01,15.37,2.55,16.6
2013-02-01,15.42,2.57,16.6
2013-03-01,15.48,2.58,16.7
2013-04-01,15.98,2.67,16.7
2013-05-01,16.05,2.69,16.7
2013-06-01,16.14,2.71,16.8
2013-07-01,16.16,2.73,16.9
2013-08-01,16.13,2.73,17.0
2013-09-01,16.29,2.77,17.0
2013-10-01,16.3,2.79,17.1
2013-11-01,16.34,2.81,17.2
2013-12-01,16.43,2.82,17.2
2014-01-01,16.57,2.85,17.2
2014-02-01,16.69,2.87,17.2
2014-03-01,16.76,2.9,17.3
2014-04-01,16.7,2.91,17.4
2014-05-01,16.61,2.91,17.5
2014-06-01,16.73,2.95,17.6
2014-07-01,16.72,2.96,17.7
2014-08-01,16.68,2.97,17.8
2014-09-01,16.93,3.02,17.8
2014-10-01,16.97,3.03,17.9
2014-11-01,16.99,3.04,17.9
2014-12-01,17.22,3.09,18.0
2015-01-01,17.23,3.1,18.0
2015-02-01,17.16,3.1,18.1
2015-03-01,17.19,3.12,18.1
2015-04-01,17.44,3.18,18.2
2015-05-01,17.44,3.19,18.3
2015-06-01,17.5,3.21,18.3
2015-07-01,17.53,3.22,18.4
2015-08-01,17.58,3.23,18.4
2015-09-01,17.64,3.25,18.4
2015-10-01,17.62,3.25,18.4
2015-11-01,17.69,3.26,18.4
2015-12-01,17.74,3.27,18.5
2016-01-01,17.74,3.28,18.5
2016-02-01,17.87,3.31,18.5
2016-03-01,17.78,3.31,18.6
2016-04-01,17.54,3.27,18.6
2016-05-01,17.55,3.28,18.7
2016-06-01,17.42,3.27,18.8
2016-07-01,17.28,3.26,18.8
2016-08-01,17.34,3.28,18.9
2016-09-01,17.23,3.27,19.0
2016-10-01,17.23,3.28,19.0
2016-11-01,17.14,3.27,19.1
2016-12-01,16.93,3.24,19.2
2017-01-01,17.03,3.27,19.2
2017-02-01,16.99,3.27,19.3
2017-03-01,16.88,3.26,19.3
2017-04-01,16.92,3.28,19.4
2017-05-01,16.96,3.3,19.4
2017-06-01,16.93,3.31,19.5
2017-07-01,16.97,3.33,19.6
2017-08-01,16.87,3.32,19.7
2017-09-01,16.74,3.31,19.8
2017-10-01,16.71,3.33,19.9
2017-11-01,16.65,3.34,20.0
2017-12-01,16.61,3.34,20.1
2018-01-01,16.61,3.36,20.2
2018-02-01,16.45,3.34,20.3
2018-03-01,16.36,3.34,20.4
2018-04-01,16.56,3.39,20.5
2018-05-01,16.38,3.37,20.6
2018-06-01,16.21,3.35,20.7
2018-07-01,16.12,3.34,20.7
2018-08-01,16.03,3.33,20.8
2018-09-01,15.97,3.33,20.8
2018-10-01,16.03,3.35,20.9
2018-11-01,15.98,3.34,20.9
2018-12-01,15.87,3.33,21.0
2019-01-01,15.72,3.31,21.0
2019-02-01,15.73,3.32,21.1
2019-03-01,15.74,3.34,21.2
2019-04-01,15.79,3.36,21.3
2019-05-01,15.79,3.38,21.4
2019-06-01,15.8,3.4,21.5
2019-07-01,15.84,3.42,21.6
2019-08-01,15.8,3.43,21.7
2019-09-01,15.89,3.46,21.8
2019-10-01,15.8,3.46,21.9
2019-11-01,15.84,3.47,21.9
2019-12-01,15.99,3.5,21.9
2020-01-01,16.18,3.53,21.8
2020-02-01,16.32,3.55,21.8
2020-03-01,16.82,3.56,21.2
2020-04-01,15.88,3.26,20.6
2020-05-01,16.07,3.21,20.0
2020-06-01,15.16,3.11,20.5
2020-07-01,16.22,3.43,21.1
2020-08-01,15.76,3.42,21.7
2020-09-01,15.66,3.42,21.8
2020-10-01,15.54,3.41,22.0
2020-11-01,15.42,3.41,22.1
2020-12-01,15.33,3.42,22.3
2021-01-01,15.25,3.43,22.5
2021-02-01,15.39,3.49,22.7
2021-03-01,15.35,3.52,22.9
2021-04-01,16.04,3.72,23.2
2021-05-01,17.11,4.01,23.4
2021-06-01,17.86,4.22,23.6
2021-07-01,16.45,3.91,23.8
2021-08-01,16.51,3.96,24.0
2021-09-01,16.68,4.05,24.3
2021-10-01,16.68,4.09,24.5
2021-11-01,16.74,4.15,24.8
2021-12-01,17.21,4.29,25.0
2022-01-01,17.43,4.37,25.1
2022-02-01,17.49,4.42,25.3
2022-03-01,17.54,4.46,25.5
2022-04-01,19.05,4.89,25.7
2022-05-01,18.61,4.81,25.9
2022-06-01,18.54,4.83,26.0
2022-07-01,18.46,4.83,26.2
2022-08-01,18.48,4.87,26.3
2022-09-01,18.49,4.9,26.5
2022-10-01,18.52,4.93,26.6
2022-11-01,18.31,4.9,26.8
2022-12-01,18.09,4.87,26.9
2023-01-01,17.93,4.85,27.1
2023-02-01,17.73,4.82,27.2
2023-03-01,17.65,4.82,27.3
2023-04-01,16.76,4.6,27.4
2023-05-01,16.4,4.52,27.5
2023-06-01,16.14,4.47,27.7
2023-07-01,16.06,4.48,27.9
2023-08-01,15.88,4.46,28.1
2023-09-01,15.75,4.44,28.2
2023-10-01,15.98,4.52,28.3
2023-11-01,16.0,4.55,28.4
2023-12-01,15.85,4.52,28.5
2024-01-01,15.91,4.55,28.6
2024-02-01,15.89,4.56,28.7
2024-03-01,15.87,4.58,28.9
2024-04-01,16.26,4.72,29.0
2024-05-01,16.24,4.73,29.1
2024-06-01,16.33,4.78,29.3
2024-07-01,16.45,4.84,29.4
2024-08-01,16.46,4.86,29.5
2024-09-01,16.61,4.92,29.6
2024-10-01,16.29,4.84,29.7
2024-11-01,16.33,4.87,29.8
2024-12-01,16.37,4.89,29.9
2025-01-01,16.45,4.93,30.0
2025-02-01,16.49,4.96,30.0
2025-03-01,16.53,4.99,30.2
2025-04-01,16.69,5.06,30.3
2025-05-01,16.77,5.11,30.5
2025-06-01,16.85,5.17,30.7
2025-07-01,16.77,5.18,30.9
2025-08-01,16.78,5.22,31.1
2025-09-01,16.76,5.23,31.2
2025-10-01,16.94,5.31,31.4
2025-11-01,16.98,5.35,31.5
2025-12-01,16.99,5.38,31.6
2026-01-01,17.06,5.42,31.8
