date,value,rgdp,pop
2012-10-01,74.13,23.4,315.7
2013-01-01,74.74,23.6,316.2
2013-04-01,74.81,23.7,316.7
2013-07-01,75.29,23.9,317.4
2013-10-01,75.79,24.1,318.1
2014-01-01,75.39,24.0,318.6
2014-04-01,76.23,24.3,319.2
2014-07-01,76.99,24.6,319.9
2014-10-01,77.21,24.8,320.6
2015-01-01,77.77,25.0,321.2
2015-04-01,78.11,25.1,321.7
2015-07-01,78.26,25.2,322.4
2015-10-01,78.23,25.3,323.1
2016-01-01,78.55,25.4,323.7
2016-04-01,78.66,25.5,324.3
2016-07-01,79.06,25.7,324.9
2016-10-01,79.34,25.8,325.6
2017-01-01,79.61,26.0,326.1
2017-04-01,79.93,26.1,326.6
2017-07-01,80.41,26.3,327.1
2017-10-01,81.18,26.6,327.7
2018-01-01,81.74,26.8,328.1
2018-04-01,82.07,27.0,328.5
2018-07-01,82.45,27.1,329.0
2018-10-01,82.45,27.2,329.5
2019-01-01,82.88,27.3,329.9
2019-04-01,83.47,27.6,330.2
2019-07-01,84.33,27.9,330.7
2019-10-01,84.78,28.1,331.2
2020-01-01,83.58,27.7,331.5
2020-04-01,76.94,25.5,331.8
2020-07-01,82.87,27.5,331.9
2020-10-01,83.77,27.8,332.1
2021-01-01,84.95,28.2,332.1
2021-04-01,86.36,28.7,332.2
2021-07-01,86.96,28.9,332.6
2021-10-01,88.33,29.4,333.1
2022-01-01,88.01,29.3,333.5
2022-04-01,88.01,29.4,334.0
2022-07-01,88.47,29.6,334.6
2022-10-01,88.89,29.8,335.3
2023-01-01,89.37,30.0,336.0
2023-04-01,89.75,30.2,336.6
2023-07-01,90.57,30.6,337.4
2023-10-01,91.11,30.8,338.3
2024-01-01,91.1,30.9,339.0
2024-04-01,91.69,31.2,339.8
2024-07-01,92.26,31.4,340.5
2024-10-01,92.55,31.6,341.0
2025-01-01,92.3,31.5,341.4
2025-04-01,93.06,31.8,341.8
2025-07-01,93.95,32.1,342.2
2025-10-01,94.0,32.2,342.4
2026-01-01,94.44,32.4,342.6
2026-04-01,94.75,32.5,342.7
